run_id,beam_file,N,loss_sigma,learning_rate,final_apodized_loss,k_t_inferred,exec_time_seconds,status,output_directory
1,beam_v1_256.mat,2,1.0,0.01,43.979827880859375,1.9882307052612305,88.4,EXITOSO,outputs/20260622_225521_beam_v1_256
2,beam_v1_256.mat,2,1.0,0.0001,215.66131591796875,0.20000000298023224,83.26,EXITOSO,outputs/20260622_225644_beam_v1_256
3,beam_v1_256.mat,2,1.0,1e-06,410.4591064453125,0.9898363351821899,92.58,EXITOSO,outputs/20260622_225817_beam_v1_256
4,beam_v1_256.mat,2,10.0,0.01,196.34918212890625,1.9911834001541138,77.59,EXITOSO,outputs/20260622_225934_beam_v1_256
5,beam_v1_256.mat,2,10.0,0.0001,196.16802978515625,1.9917641878128052,78.53,EXITOSO,outputs/20260622_230053_beam_v1_256
6,beam_v1_256.mat,2,10.0,1e-06,2081.624267578125,1.9804409742355347,78.95,EXITOSO,outputs/20260622_230212_beam_v1_256
7,beam_v1_256.mat,2,100.0,0.01,134.5834197998047,0.9723712205886841,95.61,EXITOSO,outputs/20260622_230348_beam_v1_256
8,beam_v1_256.mat,2,100.0,0.0001,134.61032104492188,0.8014742732048035,79.5,EXITOSO,outputs/20260622_230507_beam_v1_256
9,beam_v1_256.mat,2,100.0,1e-06,315.3076477050781,0.9893532991409302,84.55,EXITOSO,outputs/20260622_230631_beam_v1_256
10,beam_v1_256.mat,2,100000.0,0.01,0.13471835851669312,1.1193795204162598,78.88,EXITOSO,outputs/20260622_230751_beam_v1_256
11,beam_v1_256.mat,2,100000.0,0.0001,0.1346709132194519,1.1177661418914795,78.06,EXITOSO,outputs/20260622_230909_beam_v1_256
12,beam_v1_256.mat,2,100000.0,1e-06,0.30953335762023926,0.9895704388618469,77.96,EXITOSO,outputs/20260622_231027_beam_v1_256
13,beam_v1_256.mat,3,1.0,0.01,212.06703186035156,1.99629545211792,92.06,EXITOSO,outputs/20260622_231159_beam_v1_256
14,beam_v1_256.mat,3,1.0,0.0001,215.10015869140625,0.20000000298023224,92.96,EXITOSO,outputs/20260622_231331_beam_v1_256
15,beam_v1_256.mat,3,1.0,1e-06,493.3551025390625,1.009071707725525,93.14,EXITOSO,outputs/20260622_231505_beam_v1_256
16,beam_v1_256.mat,3,10.0,0.01,993.8782348632812,3.800417900085449,92.84,EXITOSO,outputs/20260622_231637_beam_v1_256
17,beam_v1_256.mat,3,10.0,0.0001,993.8646240234375,3.997831106185913,92.73,EXITOSO,outputs/20260622_231810_beam_v1_256
18,beam_v1_256.mat,3,10.0,1e-06,2227.400390625,3.979233741760254,92.45,EXITOSO,outputs/20260622_231943_beam_v1_256
19,beam_v1_256.mat,3,100.0,0.01,134.86471557617188,0.8689707517623901,93.37,EXITOSO,outputs/20260622_232116_beam_v1_256
20,beam_v1_256.mat,3,100.0,0.0001,134.85989379882812,0.983992338180542,93.54,EXITOSO,outputs/20260622_232250_beam_v1_256
21,beam_v1_256.mat,3,100.0,1e-06,249.61151123046875,1.1370227336883545,92.83,EXITOSO,outputs/20260622_232422_beam_v1_256
22,beam_v1_256.mat,3,100000.0,0.01,0.13531887531280518,1.2721028327941895,92.93,EXITOSO,outputs/20260622_232555_beam_v1_256
23,beam_v1_256.mat,3,100000.0,0.0001,0.13530471920967102,1.229823350906372,92.38,EXITOSO,outputs/20260622_232728_beam_v1_256
24,beam_v1_256.mat,3,100000.0,1e-06,0.3069702982902527,1.1307477951049805,92.96,EXITOSO,outputs/20260622_232901_beam_v1_256
25,beam_v1_256.mat,4,1.0,0.01,79.41712188720703,1.9934117794036865,103.9,EXITOSO,outputs/20260622_233044_beam_v1_256
26,beam_v1_256.mat,4,1.0,0.0001,79.38552856445312,1.9861969947814941,102.91,EXITOSO,outputs/20260622_233227_beam_v1_256
27,beam_v1_256.mat,4,1.0,1e-06,462.67236328125,1.0086870193481445,103.97,EXITOSO,outputs/20260622_233411_beam_v1_256
28,beam_v1_256.mat,4,10.0,0.01,367.1962890625,1.9907010793685913,104.39,EXITOSO,outputs/20260622_233556_beam_v1_256
29,beam_v1_256.mat,4,10.0,0.0001,367.5218200683594,1.9909785985946655,104.03,EXITOSO,outputs/20260622_233740_beam_v1_256
