"n","alpha","beta_rad"
1,0.0572383850812912,1.4554274082183838
2,0.10837040096521378,6.272582054138184
3,0.09616552293300629,6.0540595054626465
4,0.13622835278511047,4.944696426391602
5,0.08567431569099426,5.203039646148682
6,0.13441316783428192,4.285438537597656
7,0.09751035273075104,4.528192520141602
8,0.12113893777132034,3.704573154449463
9,0.07839261740446091,3.799903392791748
10,0.11910240352153778,3.351487874984741
11,0.07097796350717545,3.155014753341675
12,0.11540881544351578,3.095402956008911
13,0.06450697034597397,2.503574848175049
14,0.12436193972826004,2.6840004920959473
15,0.06169549748301506,1.9590826034545898
16,0.13067379593849182,2.3379087448120117
17,0.07799849659204483,1.3856457471847534
18,0.12307772040367126,2.0496749877929688
19,0.11572294682264328,0.9212143421173096
20,0.08992653340101242,1.5054043531417847
21,0.1376977264881134,0.7611432671546936
22,0.15989160537719727,0.4048846960067749
23,0.10276557505130768,5.1198225021362305
24,0.1877121925354004,0.9721413850784302
25,0.333467572927475,5.065212249755859
26,0.11905596405267715,2.6192898750305176
27,0.07460690289735794,3.942070245742798
28,0.48645296692848206,5.337328910827637
29,0.5359718203544617,0.6095116138458252
30,0.39759236574172974,1.974877953529358
31,0.19378124177455902,2.773071765899658
32,0.12516100704669952,2.714948892593384
33,0.1691756695508957,3.435581922531128
34,0.04687078669667244,4.201072692871094
35,0.10282101482152939,3.930901288986206
36,0.0751301571726799,4.691740989685059
37,0.06796030700206757,4.792346477508545
38,0.0976017564535141,5.000607490539551
39,0.06365922838449478,6.004001140594482
40,0.11641985177993774,5.116264820098877
41,0.09476969391107559,0.397533118724823
42,0.10442586988210678,5.33839225769043
43,0.10690205544233322,0.5241791009902954
44,0.07336577773094177,6.128374099731445
45,0.0900927484035492,0.5736632943153381
46,0.09047228842973709,0.8001399636268616
47,0.05948564037680626,1.0228136777877808
48,0.15114589035511017,1.2776210308074951
49,0.0781278982758522,2.7663135528564453
50,0.20023010671138763,1.2565137147903442
51,0.2676251232624054,2.6670148372650146
52,0.2601248621940613,2.6740450859069824
53,0.5632588267326355,3.942316770553589
54,0.4400501251220703,5.619931221008301
55,0.15985561907291412,0.13388796150684357
